Название,Картинка,Цена
"Видеокарта Winnfox GeForce GT210 1GB GDDR3 VGA, DVI, HDMI [G210LP-1GD3] без упаковки",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/60cc6cf8c5f0656189197238417f4064_1942.jpg,2265 Сом
"PALIT GT730 2GB DDR3 64-bit 902MHz HDMI, VGA (D-Sub), Dual-Link DVI-D [NEAT7300HD46-2080H]",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/730_1516.webp,5503 Сом
GALAX GeForce GT730 4GB DDR3 128bit VGA DVI-I HDMI [73GQF8HX00HD],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gallax 730_7414.webp,6772 Сом
PALIT GT1030 2GB DDR4 64 bit 1379MHz DVI-D HDMI [NEC103000646-1082F],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/pal 1030_1128.jpg,7406 Сом
Видеокарта MSI GeForce GT 1030 AERO ITX 4GD4 OC PCI-e3.0. 4GB DDR4/64 bit. 2100MHz. SL-DVI-D. 1*HDMI,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/msi  1030 aero itx_2052.png,8439 Сом
GALAX GeForce GTX1650 EX PLUS 1-Click OC 4GB GDDR6 128bit 1635Mhz/12000Mhz DUAL Fan DVI-D HDMI HDCP DisplayPort [65SQL8DS93E1],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/6_3298.png,15454 Сом
"Видеокарта RTX 3050 ZOTAC Solo GeForce RTX 3050 6GB GDDR6, Engine clock 1470MHz, Memory clock 14Gbps, 96Bit, 3xDP, HDMI [ZT-A30510G-10L]",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/30500g-10l-image01_7015.jpg,17085 Сом
"Видеокарта RTX 3050 GIGABYTE GeForce RTX 3050 WINDFORCE OC 6GB GDDR6, Engine clock 1477MHz, Memory clock 14000MHz, 96Bit, 2xDP, 2xHDMI [GV-N3050WF2OC-6GD]",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gig 3050_4312.webp,17714 Сом
GALAX GeForce RTX3050 EX 6GB GDDR6 96bit 1485Mhz/14000Mhz DUAL Fan HDMI 3xDisplayPort [35NRLDMD9OEX],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gal 3050_7674.webp,17947 Сом
GEFORCE RTX3050 6GB GDDR6 96bit 1537Mhz DVI DP HDMI ASUS DUAL-RTX3050-O6G,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/asus 3050 dual_5443.png,18346 Сом
"PNY GeForce RTX2060 XLR8 OC 6GB GDDR6 192bit 1680Mhz 14000Mhz DUAL Fan, 4K, 3 DisplayPort 1.4, 1 HDMI 2.0b, [VCG20606DF2MPB-0]",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/pny 2060 xlr8_2898.jpg,20938 Сом
"PALIT GeForce RTX2060 SUPER DUAL 8GB GDDR6 256bit 1650MHz 14000MHz DUAL Fan, Dual-Link -DVI, DisplayPort, HDMI, HDCP, [NE6206S018P2-1160A]",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/pal 1660_6279.png,24727 Сом
