Название,Картинка,Цена
GALAX GeForce RTX3060 1-Click OC 8GB GDDR6 128bit 1792Mhz/15500Mhz DUAL Fan HDMI HDCP 3xDisplayPort,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/galax-rtx-3060-ti-ex-1-click-oc-8gb-gddr6-3-removebg-preview_1024x_e9e8bb58-f08f-473c-bac8-c4218697d0d0_2048x2048_8749.webp,27319 Сом
"Видеокарта RTX 3060 ZOTAC GAMING GeForce RTX 3060 Twin Edge 12GB GDDR6, Engine clock 1777MHz, Memory clock 15Gbps, 192Bit, 3xDP, HDMI [ZT-A30600E-10M]",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/zt-a30600e-10m-image02_5535.jpg,27588 Сом
"Видеокарта RTX 3060 ZOTAC GAMING GeForce RTX 3060 Twin Edge OC 12GB GDDR6, Engine clock 1807MHz, Memory clock 15Gbps, 192Bit, 3xDP, HDMI [ZT-A30600H-10M]",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/zt 3060_5337.jpg,28072 Сом
"Видеокарта RTX 3060 GIGABYTE GeForce RTX3060 WINDFORCE OC 12GB GDDR6, Engine clock 1792MHz, Memory clock 15000MHz, 192Bit, 2xDP, 2xHDMI, LHR [GV-N3060WF2OC-12GD]",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gig 4060 ti windforce_6143.png,28556 Сом
GALAX GeForce RTX4060 1-Click OC 1X 8GB GDDR6 128bit 2475Mhz/17000Mhz HDMI 3xDisplayPort [46NSL8MD8ZOC],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/46nsl8md8zoc_7309.jpg,29213 Сом
GALAX GeForce RTX3060 1-Click OC 12GB GDDR6 192bit 1792Mhz/15500Mhz DUAL Fan HDMI HDCP 3xDisplayPort,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/1_2528_3105.jpg,29313 Сом
GALAX GeForce RTX4060 1-Click OC 2X V2 8GB GDDR6 128bit 2490Mhz/17000Mhz DUAL Fan HDMI 3xDisplayPort [46NSL8MD9NXV],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/galax geforce rtx™ 4060 1-click oc 2x_4572.jpg,29612 Сом
GEFORCE RTX4060 OC 8GB GDDR6 128bit 2535Mhz 3xDP HDMI ASUS DUAL-RTX4060-O8G-EVO,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/as 4060 dual_2503.jpg,29712 Сом
Видеокарта MSI GeForce RTX 4060 VENTUS 2X BLACK 8G OC PCI-e4.0x8 8GB GDDR6X/128 bit. 2505MHz/2490MHz. 3*DP. 1*HDMI. Dual Fan,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/msi  rtx 4060 ventus 2x_5594.png,31847 Сом
Видеокарта MSI GeForce RTX 4060 VENTUS 2X WHITE 8G OC PCI-e4.0x8. 8GB GDDR6/128 bit. 2505MHz/2490MHz. 3*DP. 1*HDMI. Dual Fan,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/msi rtx 4060 ventus 2x white_5838.png,31847 Сом
GALAX GeForce RTX4060 EX 8GB GDDR6 128bit 2565Mhz/18000Mhz DUAL Fan RGB HDMI 3xDisplayPort [46NSL8MD8MEX],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/galax geforce rtx™ 4060 ex_1527.webp,31905 Сом
GEFORCE RTX4060 OC 8GB GDDR6 128bit 2505Mhz 2xDP 2xHDMI GIGABYTE GV-N4060EAGLEOC ICE-8GD,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gig 4060 eagle ice_2260.jpg,33401 Сом
Видеокарта MSI GeForce RTX 4060 GAMING 8G PCI-e4.0x8. 8GB GDDR6/128 bit. 2475MHz/2460MHz. 3*DP. 1*HDMI. Dual Fan,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/msi 4060_3114.png,35332 Сом
"Видеокарта RTX 4060Ti ZOTAC GAMING GeForce RTX 4060 Ti Twin Edge 8GB GDDR6, Engine clock 2535MHz, Memory clock 18000MHz, 128Bit, 3xDP, HDMI [ZT-D40610E-10M]",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/[zt-d40610h-10m]_8319.jpg,37946 Сом
"Видеокарта RTX 4060Ti ZOTAC GAMING GeForce RTX 4060 Ti Twin Edge OC 8GB GDDR6, Engine clock 2550MHz, Memory clock 18000MHz, 128Bit, 3xDP, HDMI [ZT-D40610H-10M]",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/zt  4060 ti_8313.jpg,38236 Сом
GALAX GeForce RTX4060Ti 1-Click OC 8GB GDDR6 128bit 2580Mhz/17000Mhz DUAL Fan HDMI 3xDisplayPort [46ISL8MD8COC],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gal rtx4060ti-1-click-oc-8gb-gddr6-128bit-2580mhz-17000mhz-dual-fan-hdmi-3xdisplayport-46isl8md8coc-_6102.jpg,38984 Сом
GEFORCE RTX4060Ti OC 8GB GDDR6 128bit 2550Mhz 2xDP 2xHDMI GIGABYTE GV-N406TWF2OC-8GD,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gig 4060ti_6298.png,39283 Сом
"VGA Card ZOTAC GeForce RTX4060Ti Twin Edge,8GB GDDR6,128Bit,HDMI+3DP (ZT-D40610E-10M)",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/zt  4060 ti_4155.jpg,39383 Сом
GEFORCE RTX4060Ti OC 8GB GDDR6 128bit 2595Mhz 3xDP HDMI ASUS DUAL-RTX4060TI-O8G,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/asus 4060  и ti dual_5157.png,40280 Сом
GEFORCE RTX4060Ti OC 8GB GDDR6 128bit 2595Mhz 3xDP HDMI ASUS DUAL-RTX4060TI-O8G-EVO,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/asus 4060  и ti dual_1328.png,40779 Сом
GALAX GeForce RTX4060Ti EX 1-Click OC 8GB GDDR6 128bit 2655Mhz/18000Mhz DUAL Fan RGB HDMI 3xDisplayPort [46ISL8MD8AEX],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/galax-geforce-rtx4060ti-ex-1-click-oc-8gb-gddr6-128bit-2655mhz-18000mhz-dual-fan-rgb-hdmi-3xdisplayport-46isl8md8aex-_2097.jpg,41577 Сом
GEFORCE RTX4060Ti OC 16GB GDDR6 128bit 2565Mhz 2xDP 2xHDMI GIGABYTE GV-N406TWF2OC-16GD,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gig 4060 ti windforce_7443.png,44767 Сом
GEFORCE RTX4060Ti OC 16GB GDDR6 128bit 2625Mhz 3xDP HDMI ASUS DUAL-RTX4060TI-O16G-EVO,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/asus 4060  и ti dual_3319.png,45764 Сом
NVIDIA CMP 70HX 8GB GDDR6X 256 bit 1395Mhz/19000Mhz TRIPPLE Fan [NED70HX017P2-1046A],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/1_8996.jpg,49852 Сом
"VGA Card NVIDIA CMP 70HX 8GB GDDR6X, 256 bits,1365Mhz,19Gbps, 2x 8-Pin Connector (NED70HX017P2-1046A)",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/1_4939_6633.jpg,49852 Сом
"Видеокарта RTX 4070 ZOTAC GAMING GeForce RTX 4070 Twin Edge 12GB GDDR6X, Engine clock 2475MHz, Memory clock 21000MHz, 192Bit, 3xDP, HDMI [ZT-D40700E-10M]",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/zt 4070_2357.jpg,53724 Сом
GALAX GeForce RTX 4070 1-Click OC 2X 12GB GDDR6X 192bit 2490Mhz/21000Mhz DUAL Fan HDMI 3xDisplayPort [47NOM7MD8DDF],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/vgaglx040703__1_7421.jpg,55236 Сом
GALAX GeForce RTX 4070 D6 1-Click OC 2X 12GB GDDR6 192bit 2490Mhz/20000Mhz DUAL Fan HDMI 3xDisplayPort [47NOL7MDABDX],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gal 4070_3836.jpg,55236 Сом
"Видеокарта RTX 4070 ZOTAC GAMING GeForce RTX 4070 Super Twin Edge 12GB GDDR6X, Engine clock 2475MHz, Memory clock 21000MHz, 192Bit, 3xDP, HDMI [ZT-D40720E-10M]",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/zt 4070_2279.jpg,56628 Сом
GALAX GeForce RTX 4070 1-Click OC 3X 12GB GDDR6X 192bit 2505Mhz/21000Mhz TRIPPLE Fan HDMI 3xDisplayPort [47NOM7MD7QOC],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gal  4070_6677.jpg,57828 Сом
GALAX GeForce RTX 4070 SUPER 1-Click OC 2X 12GB GDDR6X 192bit 2490Mhz/21000Mhz DUAL Fan HDMI 3xDisplayPort [47SOM7MD9PSU],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gal  4070 super_6055.jpg,59025 Сом
GALAX GeForce RTX 4070 SUPER 1-Click OC 2X V2 12GB GDDR6X 192bit 2490Mhz/21000Mhz DUAL Fan HDMI 3xDisplayPort [47SOM7MDABCD],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gal 4070_7099.jpg,59025 Сом
"VGA Card ZOTAC GeForce RTX4070 Super Twin Edge,12GB GDDR6X,192Bit,HDMI+3DP (ZT-A40720E-10M)",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/zt 4070_6410.jpg,59822 Сом
GEFORCE RTX4070 SUPER OC 12GB GDDR6X 192bit 2550Mhz 3xDP HDMI ASUS DUAL-RTX4070S-O12G-EVO,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/as 4070 sup_4043.jpg,60221 Сом
GALAX GeForce RTX 4070 EX GAMER 1-Click OC 12GB GDDR6X 192bit 2550Mhz/21000Mhz RGB TRIPPLE Fan HDMI 3xDisplayPort [47NOM7MD7JEG],"https://enter.kg/processory_bishkek/images/stories/virtuemart/product/rtx 4070 ex gamer, argb fan_7918.jpg",60819 Сом
Видеокарта PNY GeForce RTX 4070 SUPER XLR8 DLSS 3 PCI-e 4.0. 12GB GDDR6X/192 bit. 1980MHz. 3*DP. 1*HDMI. Tripple Fan [VCG4070S12TFXXPB1-O],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/pny geforce rtx 4070 super xlr8_6273.webp,61468 Сом
GALAX GeForce RTX 4070 EX GAMER WHITE 1-Click OC 12GB GDDR6X 192bit 2550Mhz/21000Mhz RGB TRIPPLE Fan HDMI 3xDisplayPort [47NOM7MD7KWH],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gal  4070 ex gamer white_6044.webp,61816 Сом
GEFORCE RTX4070 SUPER OC 12GB GDDR6X 192bit 2535Mhz 3xDP HDMI GIGABYTE GV-N407SEAGLEOC ICE-12GD,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gig 4070 eagle ice_8185.jpg,62215 Сом
Palit GeForce RTX3080 Gaming PRO 10GB GDDR6X 320bit 1710Mhz/19000Mhz TRIPPLE Fan DVI-D HDMI HDCP DisplayPort LHR,https://enter.kg/processory_bishkek/images/stories/virtuemart/product/1_3942_3424.jpg,67799 Сом
Nvidia GeForce Black Edition RTX3080 10GB GDDR6 320bit 1710Mhz/19000Mhz TRIPPLE Fan HDMI HDCP DisplayPort (NON-LHR),https://enter.kg/processory_bishkek/images/stories/virtuemart/product/rtx_8231.avif,68796 Сом
"VGA Card PALIT GeForce RTX3080-GAMINGPRO,12GB GDDR6X,384Bit,HDMI+3DP (NED3080019KB-132AA)",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/palit geforce rtx 3080 gamingpro_5523.jpg,74778 Сом
GALAX GeForce RTX 4070Ti EX GAMER V2 12GB GDDR6X 192bit 2685Mhz/21000Mhz RGB TRIPPLE Fan HDMI 3xDisplayPort [47IOM7MD7ADT],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gal 4070ti ex gamer v2_3335.jpg,76772 Сом
GALAX GeForce RTX 4070Ti EX GAMER WHITE 12GB GDDR6X 192bit 2685Mhz/21000Mhz RGB TRIPPLE Fan HDMI 3xDisplayPort [47IOM7MD8KWE],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gal w 4070ti ex gamer_2679.jpg,79265 Сом
"Видеокарта RTX 4070Ti ZOTAC GAMING GeForce RTX 4070 Ti SUPER Trinity Black Edition 16GB GDDR6X, Engine clock 2610 MHz, Memory clock 21000MHz, 256Bit, 3xDP, HDMI [ZT-D40730D-10P]",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/zt   rtx4070 super triniry  black edition_8494.jpg,81796 Сом
GALAX GeForce RTX 4070Ti SUPER EX GAMER V2 16GB GDDR6X 256bit 2655Mhz/21000Mhz RGB TRIPPLE Fan HDMI 3xDisplayPort [47UZM6MD7JDL],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gal 4070 ex_6510.jpg,83552 Сом
GALAX GeForce RTX 4070Ti SUPER SG 1-Click OC 16GB GDDR6X 256bit 2670Mhz/21000Mhz RGB TRIPPLE Fan HDMI 3xDisplayPort [47UZM6MD6MER],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gal    4070ti sg_7434.jpg,86742 Сом
"Видеокарта RTX 4080 ZOTAC GAMING GeForce RTX 4080 SUPER Trinity Black Editio 16GB GDDR6X, Engine clock 2550MHz, Memory clock 23000MHz, 256Bit, 3xDP, HDMI [ZT-D40820D-10P]",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/zt rtx 4080 super trinity black edition_6951.jpg,103541 Сом
GALAX GeForce RTX 4080 SUPER SG 1-Click OC 16GB GDDR6X 256bit 2625Mhz/23000Mhz RGB TRIPPLE Fan HDMI 3xDisplayPort [48SZM6MD9RSG],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gal 4080 sup_6494.png,109665 Сом
GALAX GeForce RTX3080 SG 1-Click OC 10GB GDDR6X 320bit 1725Mhz/19000Mhz TRIPPLE FAN RGB HDMI HDCP 3xDisplayPort (NON-LHR),https://enter.kg/processory_bishkek/images/stories/virtuemart/product/1_1275_2680.jpg,110671 Сом
VGA Card PALIT GeForce RTX 4080 SUPER GAMING PRO 16GB GDDR6X 256bit RGB 3xFan 3DP+HDMI (NED408S019T2-1032A),https://enter.kg/processory_bishkek/images/stories/virtuemart/product/pal 4080 super gaming pro_4339.jpg,118720 Сом
"Видеокарта PNY GeForce RTX 4090 OC XLR8 Gaming VERTO EPIC-X RGB Triple Fan 24GB GDDR6X, 384bit, 3xTriple Fan DLSS 3, RGB Lighting, DirectX 12 Ultimate, Vulkan RT API 1.3, OpenGL 4.6, HDMI 2.1a, 3xDisplayPort 1.4a, PCI-Express 4.0 x16 (VCG409024TFXXPB1-O)",https://enter.kg/processory_bishkek/images/stories/virtuemart/product/d88617e14a6039491cfdff25d522c497-hi_5121.jpg,222746 Сом
GALAX GeForce RTX 4090 Hydro White 24GB GDDR6X 384bit 2580Mhz/21000Mhz TRIPPLE Fan HDMI 3xDisplayPort 1.4a [49NXM5MD7FAI],https://enter.kg/processory_bishkek/images/stories/virtuemart/product/gal  4090 hydro white 24gb_2263.jpg,234549 Сом
